,,中華民國113年01月底,,
區  域  別,戶    數,人        口        數,,
,,計,男,女
連江縣,"3,713","14,034","8,081","5,953"
南竿鄉,"2,080","7,832","4,380","3,452"
北竿鄉,928,"3,116","1,779","1,337"
莒光鄉,343,"1,508",942,566
東引鄉,362,"1,578",980,598
