,,中華民國113年01月底,,
區  域  別,戶    數,人        口        數,,
,,計,男,女
嘉義市,"103,376","263,369","126,531","136,838"
東　區,"46,630","117,910","56,141","61,769"
西　區,"56,746","145,459","70,390","75,069"
