,,中華民國113年01月底,,
區  域  別,戶    數,人        口        數,,
,,計,男,女
新竹市,"179,509","456,535","225,291","231,244"
東　區,"87,750","223,935","110,420","113,515"
北　區,"62,231","153,743","74,939","78,804"
香山區,"29,528","78,857","39,932","38,925"
