,,中華民國113年01月底,,
區  域  別,戶    數,人        口        數,,
,,計,男,女
金門縣,"43,855","144,173","71,559","72,614"
金城鎮,"13,407","43,201","21,466","21,735"
金湖鎮,"9,894","31,265","15,538","15,727"
金沙鎮,"6,691","20,847","10,231","10,616"
金寧鄉,"10,442","35,454","17,687","17,767"
烈嶼鄉,"3,289","12,746","6,298","6,448"
烏坵鄉,132,660,339,321
